_id;event;venue;machine;vendType;productName;transactionDate;quantity;quantitySet;totalStamps;currency;value;paymentStatus;sesionId;etiquetasRollo1;etiquetasRollo2;etiquetaMes;titutoEvento;feria;Lugar;fecha;mes;annio;documento
L6rd8yRCziuhZg3eM;7-9 noviembre;París;PA19;Tira de 4 Tarifas;Notre Dame;07/11/2019 11:49:23;30;4;120;EUR;4.20;FERIA;13;0;720;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
mxTeKZXP6rGBdFgTz;7-9 noviembre;París;PA19;Tira de 4 Tarifas;Notre Dame;07/11/2019 11:52:00;22;4;88;EUR;4.20;FERIA;14;0;552;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
ckZ8Avez5BknHE4CK;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:11:23;1;1;1;EUR;0.60;FERIA;15;0;464;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
477MSis8635udoGDz;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:12:49;1;1;1;EUR;0.60;Filatelia;16;0;463;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Filatelia
SuFWqXmpjBqLWxGiv;QUITAR ROLLO 2; ; ; ; ;; ; ; ; ; ; ; ; ;QUITADO; ; ; ; ; ; ; ; 
jAmhyTkhhGCGa2DNn;COLOCAR ROLLO 2; ; ; ; ;; ; ; ; ; ; ; ; ;COLOCADO; ; ; ; ; ; ; ; 
YCdnQg23Yj64PCPat;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:14:07;1;1;1;EUR;0.60;Filatelia;17;0;461;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Filatelia
HMGh3JaeJQkrrfLEh;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:19:12;5;1;5;EUR;1.40;FERIA;18;0;460;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
RDBDqBp87ZczWoWZY;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:19:12;2;1;2;EUR;1.50;FERIA;18;0;460;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
dWhngaqNeFmNSbZrh;7-9 noviembre;París;PA19;Tarifa A Tira 4;Notre Dame;07/11/2019 12:19:12;8;4;32;EUR;2.40;FERIA;18;0;460;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
A5BCsZf8hkua3T79k;7-9 noviembre;París;PA19;Tira de 4 Tarifas;Notre Dame;07/11/2019 12:19:12;10;4;40;EUR;4.20;FERIA;18;0;460;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
oaspbR83wzSLaYmPG;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:28:32;1;1;1;EUR;0.60;FERIA;19;0;381;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
oRSy9Y36Eok3m3nX4;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:30:07;1;1;1;EUR;0.60;FERIA;20;0;380;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
oW3JxjQ2fEF3avdZL;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:33:25;1;1;1;EUR;0.60;FERIA;21;0;379;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
ksGFRhP2AjMMHGSj2;7-9 noviembre;París;PA19;Tarifa A Tira 4;Notre Dame;07/11/2019 12:41:07;5;4;20;EUR;2.40;FERIA;22;0;378;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
